序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
183,臺北市,2014/06/04,中山,5.6,0.8,-,31.4,73,26,41.63,10.2,31.43,1.61,27.94,72.98
184,臺北市,2014/06/04,大同,4.6,1.24,-,-,65,20,54.84,21.26,33.58,-,-,-
185,臺北市,2014/06/04,萬華,4.7,0.67,-,35.6,47,26,33.04,4.75,28.29,1.69,27.91,73.23
186,臺北市,2014/06/04,陽明,1.6,0.21,397.46,52.6,21,18,5.54,1.12,4.43,-,21.61,98.92
187,臺北市,2014/06/04,士林,2.7,0.38,-,43.3,29,21,15.78,2.57,13.21,1.73,28.06,73.65
188,臺北市,2014/06/03,松山,2.6,0.58,433.43,14.7,38,17,31.82,8.06,23.76,1.68,26.95,76.84
189,臺北市,2014/06/03,古亭,3.5,0.7,-,12.3,39,18,33.49,9.29,24.2,1.59,27.53,78.09
190,臺北市,2014/06/03,中山,4.0,0.88,-,12.2,53,16,44.69,16.51,28.18,1.52,27.99,76.36
191,臺北市,2014/06/03,大同,3.0,1.29,-,-,46,10,55.85,25.69,30.16,-,-,-
192,臺北市,2014/06/03,萬華,2.9,0.66,-,14.1,32,17,33.69,7.13,26.57,1.49,27.94,76.46
193,臺北市,2014/06/03,陽明,1.8,0.13,396.21,32.3,9,6,4.76,1.48,3.28,-,21.57,97.98
194,臺北市,2014/06/03,士林,2.8,0.39,-,22.8,26,16,18.95,3.28,15.67,1.56,27.69,76.43
195,臺北市,2014/06/02,松山,2.7,0.6,436.71,16.9,32,17,29.92,10.19,19.73,1.91,30.07,65.39
196,臺北市,2014/06/02,古亭,2.4,0.51,-,15.9,37,13,21.92,6.11,15.81,1.71,30.1,67.76
197,臺北市,2014/06/02,中山,2.8,0.78,-,13.7,56,19,37.14,13.27,23.87,1.53,30.93,64.62
198,臺北市,2014/06/02,大同,4.4,1.64,-,-,48,16,60.97,33.65,27.31,-,-,-
199,臺北市,2014/06/02,萬華,3.2,0.6,-,16.3,32,18,25.79,6.85,18.94,1.41,30.6,66.31
200,臺北市,2014/06/02,陽明,2.0,0.15,396.42,25.9,16,11,6.36,1.65,4.7,-,23.35,91.18
201,臺北市,2014/06/02,士林,3.6,0.36,-,19.0,35,18,19.81,4.36,15.45,1.92,30.12,68.08
202,臺北市,2014/06/01,松山,3.5,0.67,441.58,26.2,47,31,31.24,7.79,23.44,1.4,28.19,77.06
203,臺北市,2014/06/01,古亭,3.0,0.62,-,21.6,53,25,25.46,5.82,19.65,1.46,28.9,77.11
204,臺北市,2014/06/01,中山,4.0,0.77,-,19.5,70,26,38.58,9.44,29.14,1.53,29.35,74.67
205,臺北市,2014/06/01,大同,4.8,1.28,-,-,57,20,55.19,23.88,31.31,-,-,-
206,臺北市,2014/06/01,萬華,4.5,0.75,-,20.5,43,29,34.18,7.72,26.46,1.31,29.37,74.77
207,臺北市,2014/06/01,陽明,2.3,0.23,402.54,39.3,25,20,6.56,1.48,5.08,-,22.72,96.77
