序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1172,高雄市,2015/01/04,橋頭,2.2,0.48,32.3,73.0,41,19,2.12,16.79,1.64,19.39,64.47
1173,高雄市,2015/01/04,美濃,1.7,0.39,32.4,51.0,31,13,1.58,11.05,0.95,19.85,63.57
1174,高雄市,2015/01/03,左營,4.3,0.56,36.1,85.0,47,21,2.03,19.28,1.85,17.38,69.09
1175,高雄市,2015/01/03,楠梓,3.7,0.51,31.4,99.0,44,27,4.57,22.16,1.58,17.39,70.65
1176,高雄市,2015/01/03,前金,3.8,0.58,37.0,95.0,42,23,2.0,20.77,1.85,17.96,66.69
1177,高雄市,2015/01/03,前鎮,5.2,0.7,27.4,89.0,34,38,7.37,30.35,1.57,18.42,65.85
1178,高雄市,2015/01/03,復興,5.5,0.94,23.1,98.0,50,45,13.46,31.97,0.89,18.66,64.24
1179,高雄市,2015/01/03,小港,8.6,0.63,29.6,95.0,45,39,6.49,32.74,1.69,18.47,64.81
1180,高雄市,2015/01/03,鳳山,5.5,0.62,31.3,112.0,40,26,2.46,23.68,1.45,18.4,63.0
1181,高雄市,2015/01/03,林園,6.9,0.49,43.4,63.0,43,19,1.46,17.94,2.46,17.9,68.01
1182,高雄市,2015/01/03,大寮,2.7,0.5,28.6,83.0,41,21,2.38,18.63,1.43,17.64,66.72
1183,高雄市,2015/01/03,仁武,5.5,0.54,28.7,99.0,41,33,4.52,28.46,1.33,17.73,67.61
1184,高雄市,2015/01/03,橋頭,4.3,0.52,30.1,91.0,45,24,2.66,20.94,1.78,17.17,69.76
1185,高雄市,2015/01/03,美濃,1.8,0.41,36.4,65.0,36,12,1.29,10.98,0.99,17.88,67.19
1186,高雄市,2015/01/02,左營,4.6,0.58,31.6,93.0,45,25,3.42,21.1,1.85,16.49,64.1
1187,高雄市,2015/01/02,楠梓,3.6,0.52,29.6,105.0,42,26,4.43,21.66,1.75,16.25,66.63
1188,高雄市,2015/01/02,前金,3.9,0.59,32.3,108.0,39,25,3.31,21.55,1.77,16.95,62.68
1189,高雄市,2015/01/02,前鎮,5.2,0.66,27.5,91.0,30,34,6.8,26.77,1.47,17.53,63.29
1190,高雄市,2015/01/02,復興,5.2,0.8,23.3,97.0,44,36,7.34,28.62,0.83,17.73,62.03
1191,高雄市,2015/01/02,小港,7.9,0.59,29.5,103.0,44,37,8.28,29.07,1.71,17.71,60.94
1192,高雄市,2015/01/02,鳳山,6.5,0.75,25.7,125.0,44,34,5.02,29.09,1.43,17.58,58.69
1193,高雄市,2015/01/02,林園,7.4,0.54,34.9,75.0,47,27,2.7,23.97,2.19,17.4,64.7
1194,高雄市,2015/01/02,大寮,4.3,0.61,21.7,97.0,43,31,6.46,24.21,1.37,16.87,62.04
1195,高雄市,2015/01/02,仁武,5.6,0.58,27.2,111.0,40,35,6.27,28.59,1.42,16.61,63.46
1196,高雄市,2015/01/02,橋頭,3.7,0.51,31.4,95.0,43,23,3.54,19.01,1.89,16.03,65.04
1197,高雄市,2015/01/02,美濃,3.4,0.52,34.3,94.0,45,16,2.15,13.83,0.95,17.32,64.39
1198,高雄市,2015/01/01,左營,3.9,0.81,31.6,135.0,68,33,6.99,25.87,1.85,17.54,66.3
1199,高雄市,2015/01/01,楠梓,4.1,0.65,31.4,135.0,58,30,6.52,23.42,2.1,17.23,68.22
1200,高雄市,2015/01/01,前金,4.7,0.79,31.7,141.0,61,31,4.8,25.77,2.03,17.85,64.93
1201,高雄市,2015/01/01,前鎮,5.4,0.78,31.1,122.0,50,32,3.98,28.38,1.63,18.36,63.67
1202,高雄市,2015/01/01,復興,4.3,0.91,26.4,133.0,67,35,5.21,29.58,0.93,18.51,62.62
1203,高雄市,2015/01/01,小港,5.9,0.67,32.1,118.0,56,32,3.71,28.19,1.86,18.32,64.13
1204,高雄市,2015/01/01,鳳山,6.1,0.73,28.9,140.0,51,31,3.63,27.02,1.86,18.3,61.5
1205,高雄市,2015/01/01,林園,5.7,0.6,35.0,84.0,58,22,2.05,19.5,2.29,17.91,66.7
1206,高雄市,2015/01/01,大寮,4.0,0.62,25.4,109.0,53,25,4.22,21.02,1.4,17.26,67.57
1207,高雄市,2015/01/01,仁武,4.6,0.66,31.4,144.0,61,30,4.13,25.56,1.59,17.6,66.5
1208,高雄市,2015/01/01,橋頭,3.9,0.58,33.9,122.0,59,22,2.84,19.4,2.44,16.83,67.46
1209,高雄市,2015/01/01,美濃,3.1,0.48,36.9,92.0,46,14,1.53,12.45,1.18,17.71,64.89
1210,基隆市,2015/01/31,基隆,0.8,0.46,35.2,26.0,21,7,1.02,5.64,1.27,14.31,89.73
1211,基隆市,2015/01/30,基隆,1.4,0.28,32.5,14.0,6,9,2.01,7.46,1.26,16.25,92.61
1212,基隆市,2015/01/29,基隆,2.4,0.51,21.7,21.0,11,26,10.09,15.62,0.77,17.63,94.08
1213,基隆市,2015/01/28,基隆,0.5,0.26,39.8,23.0,13,4,0.68,3.58,1.78,15.46,90.13
1214,基隆市,2015/01/27,基隆,1.1,0.42,48.7,38.0,32,6,0.62,5.13,1.65,17.62,93.1
1215,基隆市,2015/01/26,基隆,4.0,0.63,16.7,38.0,29,34,9.29,24.46,0.67,18.24,88.13
1216,基隆市,2015/01/25,基隆,5.8,0.48,28.0,39.0,27,28,7.16,20.71,1.29,19.71,69.4
1217,基隆市,2015/01/24,基隆,1.4,0.62,31.3,43.0,32,21,4.99,16.49,1.52,17.19,71.84
1218,基隆市,2015/01/23,基隆,2.5,0.72,31.8,52.0,41,25,6.25,19.19,1.48,14.11,71.53
1219,基隆市,2015/01/22,基隆,3.6,0.68,31.3,71.0,48,25,5.38,19.73,0.87,13.86,76.12
1220,基隆市,2015/01/21,基隆,4.2,0.53,22.7,47.0,31,26,4.35,21.22,1.14,17.05,87.19
1221,基隆市,2015/01/20,基隆,2.1,0.6,35.6,62.0,37,21,3.76,17.42,1.24,17.93,71.23
1222,基隆市,2015/01/19,基隆,2.3,0.38,51.9,63.0,37,7,1.21,5.78,2.43,16.55,59.19
1223,基隆市,2015/01/18,基隆,1.1,0.35,37.1,30.0,18,8,1.22,6.88,1.45,16.88,69.23
1224,基隆市,2015/01/17,基隆,3.3,0.48,44.0,81.0,62,8,1.17,6.89,2.41,15.92,60.58
1225,基隆市,2015/01/16,基隆,1.1,0.33,37.9,28.0,16,9,1.42,7.5,1.29,17.51,73.29
1226,基隆市,2015/01/15,基隆,0.5,0.31,34.9,25.0,14,7,0.85,6.05,1.55,16.87,68.74
1227,基隆市,2015/01/14,基隆,2.3,0.3,32.8,13.0,6,12,0.76,10.86,1.59,16.81,82.02
1228,基隆市,2015/01/13,基隆,1.1,0.24,41.2,20.0,11,8,1.03,7.02,2.34,20.21,76.43
1229,基隆市,2015/01/12,基隆,1.7,0.32,52.6,44.0,25,8,0.73,6.91,2.27,17.63,71.41
1230,基隆市,2015/01/11,基隆,2.6,0.39,53.4,50.0,31,8,0.74,6.77,1.91,17.96,61.47
1231,基隆市,2015/01/10,基隆,1.8,0.27,44.1,31.0,18,6,1.17,5.2,1.9,17.33,61.18
1232,基隆市,2015/01/09,基隆,1.3,0.3,40.5,31.0,19,7,1.3,5.87,1.81,16.43,62.32
1233,基隆市,2015/01/08,基隆,2.6,0.37,35.0,52.0,34,9,1.84,7.15,1.62,14.5,63.78
1234,基隆市,2015/01/07,基隆,0.9,0.39,38.6,20.0,14,7,1.64,5.77,1.38,15.67,89.95
1235,基隆市,2015/01/06,基隆,2.6,0.95,23.4,47.0,38,-,-,-,0.99,19.66,86.17
1236,基隆市,2015/01/05,基隆,2.7,1.0,8.7,33.0,25,48,24.63,23.41,0.62,17.96,91.16
1237,基隆市,2015/01/04,基隆,3.5,0.66,20.8,34.0,26,32,7.9,23.63,0.74,17.04,82.66
1238,基隆市,2015/01/03,基隆,1.2,0.42,26.3,20.0,11,18,4.9,13.29,1.17,16.04,71.17
1239,基隆市,2015/01/02,基隆,1.2,0.26,38.4,30.0,15,7,1.2,5.97,1.81,15.19,59.37
1240,基隆市,2015/01/01,基隆,3.8,0.41,40.5,62.0,31,7,0.96,6.4,2.04,14.85,58.01
1241,新竹市,2015/01/31,新竹,1.0,0.52,29.4,37.0,21,14,1.54,12.64,4.0,13.97,79.22
1242,新竹市,2015/01/30,新竹,1.0,0.3,27.6,31.0,10,13,1.3,11.32,3.78,15.08,83.42
1243,新竹市,2015/01/29,新竹,1.3,0.33,29.3,30.0,13,15,1.81,13.47,1.82,17.09,81.8
1244,新竹市,2015/01/28,新竹,1.0,0.4,32.7,29.0,17,14,1.87,11.82,4.31,16.19,75.15
1245,新竹市,2015/01/27,新竹,1.1,0.51,36.6,46.0,29,19,1.59,17.8,3.36,17.3,84.89
1246,新竹市,2015/01/26,新竹,3.5,0.5,23.0,57.0,34,32,7.45,24.7,1.49,18.53,77.27
1247,新竹市,2015/01/25,新竹,3.4,0.6,27.1,66.0,42,29,3.78,25.33,1.24,18.24,69.54
1248,新竹市,2015/01/24,新竹,1.8,0.75,31.4,62.0,39,34,5.96,28.02,1.62,15.53,59.77
1249,新竹市,2015/01/23,新竹,3.5,0.61,37.7,71.0,42,25,2.1,23.02,1.73,15.25,56.56
1250,新竹市,2015/01/22,新竹,3.8,0.59,42.6,90.0,48,22,1.79,20.53,2.22,15.39,58.79
1251,新竹市,2015/01/21,新竹,2.3,0.46,32.0,78.0,38,21,1.4,19.18,1.72,17.14,79.58
1252,新竹市,2015/01/20,新竹,1.6,0.61,35.3,76.0,39,25,2.59,22.04,1.33,18.19,65.91
1253,新竹市,2015/01/19,新竹,2.7,0.44,45.1,73.0,36,14,1.36,13.12,4.72,16.15,58.19
1254,新竹市,2015/01/18,新竹,0.9,0.39,34.5,43.0,26,12,1.19,10.99,3.1,16.35,66.09
1255,新竹市,2015/01/17,新竹,3.3,0.56,37.9,92.0,57,16,1.2,14.59,4.61,15.44,60.15
1256,新竹市,2015/01/16,新竹,1.7,0.49,24.7,44.0,27,24,5.99,17.93,2.16,15.82,76.21
1257,新竹市,2015/01/15,新竹,0.9,0.39,25.7,36.0,19,18,2.16,15.7,3.25,15.74,69.44
1258,新竹市,2015/01/14,新竹,1.3,0.38,28.9,22.0,12,16,1.73,14.24,2.3,15.75,81.45
1259,新竹市,2015/01/13,新竹,2.6,0.53,33.3,38.0,21,26,5.02,20.65,1.64,19.06,70.93
1260,新竹市,2015/01/12,新竹,-,0.39,50.3,37.0,21,12,1.31,10.25,4.29,18.69,60.59
1261,新竹市,2015/01/11,新竹,1.4,0.36,44.0,48.0,26,12,1.26,10.33,3.02,17.52,62.36
1262,新竹市,2015/01/10,新竹,1.6,0.29,35.3,36.0,19,13,1.45,11.97,3.26,17.01,59.78
1263,新竹市,2015/01/09,新竹,1.7,0.38,32.7,47.0,25,18,1.88,15.74,3.2,15.64,61.57
1264,新竹市,2015/01/08,新竹,2.7,0.45,30.8,74.0,40,16,1.98,13.8,4.41,13.55,61.24
1265,新竹市,2015/01/07,新竹,-,0.48,32.7,39.0,22,14,1.81,12.41,3.93,15.15,78.66
1266,新竹市,2015/01/06,新竹,2.9,0.72,22.3,64.0,40,37,12.12,24.68,1.98,20.06,71.1
1267,新竹市,2015/01/05,新竹,-,0.91,12.4,72.0,43,53,20.12,32.77,0.96,18.11,75.16
1268,新竹市,2015/01/04,新竹,-,0.75,20.9,79.0,51,36,7.87,27.72,0.98,16.44,77.04
1269,新竹市,2015/01/03,新竹,2.4,0.69,28.0,53.0,29,34,10.81,23.61,1.18,15.93,64.53
1270,新竹市,2015/01/02,新竹,-,0.3,33.2,40.0,18,13,1.8,11.6,3.35,14.28,59.01
1271,新竹市,2015/01/01,新竹,4.1,0.5,36.3,94.0,41,15,1.46,13.22,4.77,13.97,58.3
1272,嘉義市,2015/01/31,嘉義,2.3,0.56,23.3,60.0,27,20,2.61,17.43,2.78,16.83,71.39
1273,嘉義市,2015/01/30,嘉義,2.2,0.42,16.5,73.0,29,22,3.6,18.44,2.68,17.85,79.5
1274,嘉義市,2015/01/29,嘉義,4.6,0.48,21.1,70.0,26,23,3.52,19.66,2.26,18.9,74.64
1275,嘉義市,2015/01/28,嘉義,4.5,0.62,20.6,61.0,25,24,3.96,19.62,2.16,18.47,73.87
1276,嘉義市,2015/01/27,嘉義,3.5,0.67,14.8,91.0,53,29,5.97,23.05,2.0,19.3,83.39
1277,嘉義市,2015/01/26,嘉義,3.6,0.54,18.4,89.0,46,26,4.28,21.9,2.44,19.3,79.51
1278,嘉義市,2015/01/25,嘉義,5.0,0.85,32.1,147.0,92,28,1.71,26.21,1.73,19.68,64.79
1279,嘉義市,2015/01/24,嘉義,5.8,0.75,37.1,111.0,65,28,2.59,25.17,1.57,17.59,61.45
1280,嘉義市,2015/01/23,嘉義,3.3,0.63,36.9,95.0,52,23,3.38,19.33,1.45,16.64,57.33
1281,嘉義市,2015/01/22,嘉義,4.7,0.66,36.8,111.0,58,25,1.67,22.88,3.18,17.25,55.21
1282,嘉義市,2015/01/21,嘉義,3.8,0.54,27.7,104.0,50,20,2.07,17.83,2.8,18.76,78.35
1283,嘉義市,2015/01/20,嘉義,7.3,0.73,31.6,128.0,68,-,-,-,1.69,18.76,67.62
1284,嘉義市,2015/01/19,嘉義,4.3,0.65,23.1,93.0,38,28,4.4,24.05,1.9,17.23,66.98
1285,嘉義市,2015/01/18,嘉義,3.2,0.64,24.2,113.0,-,24,4.3,19.33,1.8,16.33,69.86
1286,嘉義市,2015/01/17,嘉義,3.9,0.6,27.0,104.0,48,24,4.28,19.59,2.37,16.87,66.62
1287,嘉義市,2015/01/16,嘉義,5.1,0.6,20.7,84.0,38,34,9.97,23.72,2.15,17.71,72.3
1288,嘉義市,2015/01/15,嘉義,4.4,0.54,19.1,62.0,27,29,5.23,23.37,2.04,17.06,70.8
1289,嘉義市,2015/01/14,嘉義,1.9,0.41,25.6,30.0,9,18,3.03,14.67,3.1,17.3,81.07
1290,嘉義市,2015/01/13,嘉義,3.4,0.52,23.0,87.0,28,21,4.31,16.77,2.0,18.78,77.9
1291,嘉義市,2015/01/12,嘉義,4.6,0.72,27.3,100.0,49,-,-,-,1.54,20.24,63.0
1292,嘉義市,2015/01/11,嘉義,3.7,0.7,24.6,95.0,49,28,4.45,23.37,1.76,18.93,62.99
1293,嘉義市,2015/01/10,嘉義,4.6,0.63,23.1,95.0,49,35,5.79,29.44,1.51,17.67,64.19
1294,嘉義市,2015/01/09,嘉義,3.5,0.6,22.6,92.0,47,28,5.04,23.11,2.25,17.12,60.69
1295,嘉義市,2015/01/08,嘉義,4.0,0.61,20.4,84.0,44,23,3.27,19.31,2.65,15.45,61.19
1296,嘉義市,2015/01/07,嘉義,3.5,0.71,19.2,93.0,54,22,2.14,19.87,2.92,18.72,75.61
1297,嘉義市,2015/01/06,嘉義,3.9,0.69,24.5,81.0,43,27,5.19,21.39,2.18,21.74,68.34
1298,嘉義市,2015/01/05,嘉義,-,0.65,26.1,70.0,35,29,5.21,23.78,1.43,21.08,60.24
1299,嘉義市,2015/01/04,嘉義,-,0.68,25.1,87.0,53,25,4.53,20.43,1.41,19.22,62.88
1300,嘉義市,2015/01/03,嘉義,-,0.69,24.3,100.0,56,32,7.89,24.42,1.46,17.39,64.79
1301,嘉義市,2015/01/02,嘉義,3.7,0.55,24.7,85.0,39,23,3.54,19.55,2.02,15.59,58.36
1302,嘉義市,2015/01/01,嘉義,4.2,0.72,24.4,118.0,58,27,6.47,20.6,2.2,15.97,63.18
1303,宜蘭縣,2015/01/31,宜蘭,1.9,0.43,31.5,25.0,13,8,0.98,6.55,1.22,14.4,83.55
1304,宜蘭縣,2015/01/31,冬山,0.7,0.4,30.9,18.0,9,8,1.38,7.0,1.78,13.96,87.55
1305,宜蘭縣,2015/01/30,宜蘭,-,0.3,28.4,21.0,10,9,1.33,7.84,1.36,17.43,79.26
1306,宜蘭縣,2015/01/30,冬山,1.7,0.27,22.3,19.0,8,15,4.63,10.04,1.88,16.99,84.44
1307,宜蘭縣,2015/01/29,宜蘭,-,0.39,28.3,23.0,11,12,2.4,9.66,1.09,17.72,83.68
1308,宜蘭縣,2015/01/29,冬山,2.1,0.26,27.4,19.0,6,14,4.68,9.33,1.48,17.7,82.7
1309,宜蘭縣,2015/01/28,宜蘭,1.7,0.38,37.5,22.0,13,8,0.91,6.93,1.29,14.99,88.14
1310,宜蘭縣,2015/01/28,冬山,0.6,0.3,38.2,15.0,8,8,1.87,5.69,1.96,14.74,89.95
1311,宜蘭縣,2015/01/27,宜蘭,1.6,0.45,41.5,34.0,26,10,0.97,9.42,1.3,17.88,85.03
1312,宜蘭縣,2015/01/27,冬山,1.0,0.42,37.8,32.0,23,17,3.31,14.08,1.78,17.2,90.84
1313,宜蘭縣,2015/01/26,宜蘭,3.4,0.37,33.4,45.0,27,13,1.59,10.93,1.27,20.16,70.88
1314,宜蘭縣,2015/01/26,冬山,2.7,0.38,23.6,47.0,22,22,6.28,16.08,1.3,19.32,78.28
1315,宜蘭縣,2015/01/25,宜蘭,2.8,0.37,34.3,46.0,22,12,1.49,10.78,1.09,19.67,62.14
1316,宜蘭縣,2015/01/25,冬山,1.7,0.3,28.2,44.0,23,14,3.42,10.94,1.25,18.52,67.76
1317,宜蘭縣,2015/01/24,宜蘭,2.2,0.44,39.7,62.0,34,13,1.85,11.59,1.46,17.3,61.9
1318,宜蘭縣,2015/01/24,冬山,2.3,0.42,30.6,60.0,33,18,4.18,13.7,1.68,16.17,67.75
1319,宜蘭縣,2015/01/23,宜蘭,4.7,0.56,45.2,81.0,44,11,0.95,10.47,1.39,14.62,61.56
1320,宜蘭縣,2015/01/23,冬山,3.5,0.5,39.9,79.0,43,18,3.39,14.94,1.75,14.13,65.73
1321,宜蘭縣,2015/01/22,宜蘭,5.3,0.51,51.4,91.0,45,11,0.83,9.75,1.76,15.57,55.27
1322,宜蘭縣,2015/01/22,冬山,3.5,0.49,50.3,100.0,47,18,4.26,13.93,2.62,15.21,57.82
1323,宜蘭縣,2015/01/21,宜蘭,2.1,0.41,39.2,52.0,28,11,1.78,8.92,1.67,18.44,66.76
1324,宜蘭縣,2015/01/21,冬山,2.6,0.41,33.1,59.0,29,20,7.77,12.43,1.82,17.7,74.92
1325,宜蘭縣,2015/01/20,宜蘭,2.6,0.5,34.9,78.0,37,13,1.18,11.63,1.05,16.92,70.7
1326,宜蘭縣,2015/01/20,冬山,2.5,0.51,24.9,85.0,38,18,3.76,14.59,1.09,16.52,75.29
1327,宜蘭縣,2015/01/19,宜蘭,3.4,0.43,38.3,70.0,30,10,1.0,9.23,1.32,15.44,65.63
1328,宜蘭縣,2015/01/19,冬山,2.5,0.38,36.4,76.0,36,16,2.05,13.57,1.51,15.2,67.19
1329,宜蘭縣,2015/01/18,宜蘭,2.0,0.37,37.1,52.0,26,7,1.18,5.97,1.72,16.52,68.2
1330,宜蘭縣,2015/01/18,冬山,1.3,0.34,33.4,50.0,26,10,2.64,7.05,1.78,16.11,70.8
1331,宜蘭縣,2015/01/17,宜蘭,4.4,0.51,41.4,97.0,53,10,1.02,8.6,1.52,15.25,60.47
1332,宜蘭縣,2015/01/17,冬山,3.1,0.49,39.8,99.0,60,13,2.63,10.04,1.9,15.22,61.36
1333,宜蘭縣,2015/01/16,宜蘭,1.9,0.32,33.6,37.0,14,9,1.6,7.66,1.57,17.48,67.75
1334,宜蘭縣,2015/01/16,冬山,-,0.27,31.8,41.0,16,13,4.33,8.53,1.81,17.07,70.89
1335,宜蘭縣,2015/01/15,宜蘭,2.7,0.35,29.0,37.0,14,10,1.57,8.1,1.2,16.02,67.48
1336,宜蘭縣,2015/01/15,冬山,1.3,0.27,28.7,34.0,12,11,2.85,7.84,1.55,15.8,70.3
1337,宜蘭縣,2015/01/14,宜蘭,1.9,0.34,29.5,23.0,11,10,2.1,8.06,2.15,18.2,70.09
1338,宜蘭縣,2015/01/14,冬山,-,0.35,27.5,30.0,14,19,6.6,12.0,1.81,18.0,74.6
1339,宜蘭縣,2015/01/13,宜蘭,1.8,0.43,38.4,41.0,17,13,1.63,11.65,2.13,18.7,79.33
1340,宜蘭縣,2015/01/13,冬山,1.8,0.36,33.5,35.0,18,17,4.93,11.78,2.91,18.28,79.08
1341,宜蘭縣,2015/01/12,宜蘭,2.8,0.48,41.1,58.0,33,14,0.93,13.29,1.18,15.25,85.29
1342,宜蘭縣,2015/01/12,冬山,2.4,0.44,30.8,55.0,34,26,6.83,19.42,1.41,15.1,88.21
1343,宜蘭縣,2015/01/11,宜蘭,3.1,0.36,39.7,57.0,31,8,0.75,7.31,1.12,15.11,81.04
1344,宜蘭縣,2015/01/11,冬山,2.0,0.33,32.3,46.0,27,13,2.55,10.66,1.44,15.02,85.0
1345,宜蘭縣,2015/01/10,宜蘭,3.4,0.31,30.6,44.0,19,10,1.16,8.99,1.1,15.88,67.42
1346,宜蘭縣,2015/01/10,冬山,1.4,0.21,28.3,39.0,17,12,2.61,9.09,1.45,15.7,72.64
1347,宜蘭縣,2015/01/09,宜蘭,3.2,0.37,31.7,48.0,18,11,1.49,9.4,1.17,15.59,61.62
1348,宜蘭縣,2015/01/09,冬山,1.2,0.3,28.7,49.0,23,13,3.46,9.76,1.46,15.31,65.14
1349,宜蘭縣,2015/01/08,宜蘭,3.6,0.41,35.2,69.0,30,9,1.24,7.38,1.8,14.2,57.47
1350,宜蘭縣,2015/01/08,冬山,2.9,0.38,31.4,70.0,34,13,3.61,9.71,2.33,13.89,61.77
1351,宜蘭縣,2015/01/07,宜蘭,1.8,0.46,38.6,24.0,13,9,1.23,7.33,1.76,16.93,74.98
1352,宜蘭縣,2015/01/07,冬山,1.5,0.39,37.8,25.0,11,13,3.58,9.05,2.39,16.31,81.05
1353,宜蘭縣,2015/01/06,宜蘭,2.2,0.47,35.3,54.0,33,13,2.21,10.76,1.62,20.43,72.34
1354,宜蘭縣,2015/01/06,冬山,3.2,0.45,31.0,69.0,33,24,9.06,14.86,1.61,19.59,77.51
1355,宜蘭縣,2015/01/05,宜蘭,2.2,0.43,24.0,40.0,19,15,2.99,11.84,0.98,19.62,71.0
1356,宜蘭縣,2015/01/05,冬山,2.5,0.34,17.4,43.0,16,21,7.37,13.27,1.0,18.57,75.82
1357,宜蘭縣,2015/01/04,宜蘭,2.6,0.29,30.1,35.0,16,9,1.49,7.64,1.24,17.96,65.62
1358,宜蘭縣,2015/01/04,冬山,1.8,0.25,23.0,35.0,15,14,5.2,8.5,1.27,16.83,72.64
1359,宜蘭縣,2015/01/03,宜蘭,4.1,0.3,31.4,36.0,14,11,1.35,9.64,1.08,15.95,64.1
1360,宜蘭縣,2015/01/03,冬山,2.6,0.22,27.9,36.0,13,12,2.66,9.06,1.29,15.15,69.39
1361,宜蘭縣,2015/01/02,宜蘭,3.1,0.27,34.8,44.0,14,8,0.9,7.34,1.49,14.34,56.84
1362,宜蘭縣,2015/01/02,冬山,1.0,0.22,31.2,42.0,15,12,3.98,8.47,1.66,14.07,61.75
1363,宜蘭縣,2015/01/01,宜蘭,4.4,0.45,40.0,97.0,38,10,1.47,8.47,2.18,14.71,52.23
1364,宜蘭縣,2015/01/01,冬山,4.3,0.42,40.4,102.0,41,11,1.48,9.5,3.06,14.52,53.88
1365,桃園市,2015/01/31,桃園,2.1,0.54,28.7,30.0,16,14,1.93,12.11,2.06,13.13,80.01
1366,桃園市,2015/01/31,中壢,3.4,0.75,21.2,47.0,19,33,10.92,22.47,2.19,13.67,77.18
1367,桃園市,2015/01/31,大園,2.8,0.44,33.3,42.0,23,15,3.46,11.83,8.43,13.42,81.41
1368,桃園市,2015/01/31,龍潭,2.5,0.47,32.2,32.0,15,13,1.65,11.3,5.92,13.09,83.84
1369,桃園市,2015/01/31,平鎮,2.9,0.54,26.1,40.0,19,16,1.42,14.27,4.74,13.17,83.23
1370,桃園市,2015/01/31,觀音,4.3,0.41,34.9,46.0,22,8,0.53,7.79,7.88,13.68,77.24
1371,桃園市,2015/01/30,桃園,0.7,0.25,28.9,24.0,7,10,1.74,8.37,1.78,14.33,83.97
1372,桃園市,2015/01/30,中壢,2.5,0.52,19.0,47.0,9,32,11.52,20.75,2.04,15.46,83.01
1373,桃園市,2015/01/30,大園,1.5,0.2,32.7,31.0,11,11,3.61,7.25,8.97,14.52,88.21
1374,桃園市,2015/01/30,龍潭,2.2,0.32,26.3,34.0,9,15,3.09,12.04,3.41,14.16,89.81
1375,桃園市,2015/01/30,平鎮,2.1,0.26,24.0,32.0,7,15,1.55,13.13,4.59,14.2,89.07
1376,桃園市,2015/01/30,觀音,2.2,0.18,32.7,31.0,6,4,0.59,3.79,7.24,14.68,81.56
1377,桃園市,2015/01/29,桃園,3.6,0.42,27.4,24.0,9,20,3.59,16.0,1.6,17.51,80.55
1378,桃園市,2015/01/29,中壢,3.4,0.69,21.0,45.0,6,38,13.09,24.51,1.35,17.88,78.22
1379,桃園市,2015/01/29,大園,3.0,0.21,33.3,33.0,10,16,4.25,11.36,5.7,17.06,87.19
1380,桃園市,2015/01/29,龍潭,3.1,0.39,29.0,34.0,11,20,3.17,16.39,2.55,17.05,82.66
1381,桃園市,2015/01/29,平鎮,3.9,0.31,25.4,37.0,9,19,2.4,16.5,2.59,17.23,83.53
1382,桃園市,2015/01/29,觀音,3.2,0.17,37.0,42.0,9,7,1.02,5.81,4.4,17.1,81.88
1383,桃園市,2015/01/28,桃園,2.8,0.47,29.2,28.0,11,17,3.04,14.46,2.46,14.48,82.29
1384,桃園市,2015/01/28,中壢,3.3,0.72,23.4,42.0,11,32,10.93,21.09,1.93,15.43,77.79
1385,桃園市,2015/01/28,大園,3.6,0.31,31.4,34.0,19,21,5.28,15.59,7.57,14.91,83.81
1386,桃園市,2015/01/28,龍潭,2.1,0.37,35.6,26.0,12,13,3.65,9.63,6.38,14.59,83.45
1387,桃園市,2015/01/28,平鎮,2.3,0.41,27.8,38.0,13,17,1.61,15.02,4.34,15.05,82.31
1388,桃園市,2015/01/28,觀音,5.1,0.23,34.0,45.0,17,10,1.38,8.88,7.17,15.42,77.98
1389,桃園市,2015/01/27,桃園,1.9,0.6,32.9,37.0,26,22,2.09,19.53,1.22,16.17,87.2
1390,桃園市,2015/01/27,中壢,2.9,0.97,23.0,60.0,23,46,13.88,32.15,1.44,17.71,85.52
1391,桃園市,2015/01/27,大園,2.6,0.43,40.9,57.0,33,19,4.0,14.51,7.29,16.31,94.65
1392,桃園市,2015/01/27,龍潭,2.6,0.47,41.3,47.0,22,15,2.02,13.08,4.46,16.29,88.72
1393,桃園市,2015/01/27,平鎮,2.2,0.56,30.1,45.0,26,22,1.56,20.82,3.25,16.36,90.55
1394,桃園市,2015/01/27,觀音,5.6,0.39,42.6,67.0,32,12,0.94,10.79,6.62,16.46,86.66
1395,桃園市,2015/01/26,桃園,4.9,0.67,14.8,53.0,33,37,7.15,30.14,0.84,17.45,81.78
1396,桃園市,2015/01/26,中壢,6.2,1.04,14.1,87.0,30,63,23.14,39.78,0.9,18.21,75.38
1397,桃園市,2015/01/26,大園,4.6,0.37,27.2,60.0,29,35,10.62,23.88,3.17,17.65,85.84
1398,桃園市,2015/01/26,龍潭,5.2,0.58,22.2,72.0,34,34,6.41,27.64,1.74,17.6,80.49
1399,桃園市,2015/01/26,平鎮,4.6,0.51,19.5,63.0,33,39,9.46,29.46,1.62,17.85,80.39
1400,桃園市,2015/01/26,觀音,5.3,0.35,32.0,62.0,25,19,2.76,16.24,2.05,17.76,82.07
