序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1829,南投縣,2014/01/21,南投,3.5,0.61,-,16.7,125,54,26.45,6.73,19.72,1.82,12.99,70.88
1830,南投縣,2014/01/21,埔里,3.1,0.56,-,21.2,78,49,19.68,2.84,16.84,1.26,13.0,69.4
1831,南投縣,2014/01/21,竹山,4.1,0.5,-,25.2,113,54,19.3,1.9,17.4,1.74,12.61,63.68
1832,南投縣,2014/01/20,南投,2.3,0.6,-,23.1,96,56,24.97,5.28,19.69,1.27,15.36,74.97
1833,南投縣,2014/01/20,埔里,2.2,0.51,-,34.2,73,52,17.05,1.34,15.7,1.47,14.9,62.82
1834,南投縣,2014/01/20,竹山,3.2,0.46,-,34.6,92,52,16.72,2.03,14.7,1.5,14.7,69.08
1835,南投縣,2014/01/19,南投,3.1,0.62,-,35.1,121,77,16.67,1.87,14.79,1.36,14.54,67.04
1836,南投縣,2014/01/19,埔里,2.5,0.53,-,38.7,83,61,14.87,1.96,12.87,1.39,13.4,63.74
1837,南投縣,2014/01/19,竹山,3.1,0.52,-,41.1,110,68,16.74,1.89,14.84,1.23,13.85,61.68
1838,南投縣,2014/01/18,南投,4.2,0.59,-,30.8,111,58,25.2,6.29,18.91,1.97,14.39,66.72
1839,南投縣,2014/01/18,埔里,2.3,0.51,-,31.5,63,46,18.78,2.19,16.58,1.61,14.38,63.58
1840,南投縣,2014/01/18,竹山,4.7,0.49,-,36.5,102,59,19.66,2.35,17.3,1.53,13.86,61.5
1841,南投縣,2014/01/17,南投,2.5,0.58,-,18.6,70,36,32.74,7.41,25.32,1.55,16.75,68.83
1842,南投縣,2014/01/17,埔里,1.7,0.46,-,29.9,48,31,19.72,2.91,16.82,1.32,16.56,58.5
1843,南投縣,2014/01/17,竹山,3.0,0.42,-,31.3,69,35,21.13,2.43,18.7,1.34,16.14,62.98
1844,南投縣,2014/01/16,南投,4.4,0.66,-,19.7,78,40,33.65,9.03,24.62,1.42,15.94,68.58
1845,南投縣,2014/01/16,埔里,2.5,0.44,-,32.6,59,38,17.44,2.64,14.79,1.35,16.03,65.36
1846,南投縣,2014/01/16,竹山,2.8,0.47,-,30.1,79,42,21.83,4.48,17.34,1.17,15.38,65.04
1847,南投縣,2014/01/15,南投,-,-,-,27.0,65,30,-,-,-,1.52,16.42,60.32
1848,南投縣,2014/01/15,埔里,1.6,0.4,-,28.4,43,30,14.0,1.37,12.61,1.64,15.31,70.63
1849,南投縣,2014/01/15,竹山,2.8,0.36,-,27.5,64,30,17.44,2.31,15.13,1.45,14.78,64.2
1850,南投縣,2014/01/14,南投,2.6,0.61,-,15.0,57,27,24.11,3.93,20.18,1.95,14.79,80.14
1851,南投縣,2014/01/14,埔里,1.6,0.48,-,17.8,45,32,16.05,2.28,13.77,1.14,15.86,73.78
1852,南投縣,2014/01/14,竹山,2.3,0.43,-,20.7,66,32,17.25,2.11,15.14,1.77,14.56,74.15
1853,南投縣,2014/01/13,南投,2.9,0.56,-,24.8,60,31,21.23,3.05,18.18,2.39,16.6,75.79
1854,南投縣,2014/01/13,埔里,1.7,0.42,-,28.4,51,35,15.62,1.85,13.77,1.58,17.08,71.9
1855,南投縣,2014/01/13,竹山,2.3,0.36,-,28.2,63,32,14.83,1.23,13.59,1.14,15.72,71.77
1856,南投縣,2014/01/12,南投,1.9,0.44,-,23.0,76,45,17.17,2.57,14.6,2.05,17.58,78.91
1857,南投縣,2014/01/12,埔里,1.3,0.45,-,29.2,52,39,14.79,1.75,13.03,1.51,16.4,72.84
1858,南投縣,2014/01/12,竹山,2.5,0.32,-,29.8,75,43,12.47,0.93,11.53,1.46,16.89,72.34
1859,南投縣,2014/01/11,南投,2.4,0.54,-,20.9,81,46,27.07,6.46,20.61,1.43,16.89,80.54
1860,南投縣,2014/01/11,埔里,2.4,0.6,-,28.4,62,44,22.12,3.21,18.91,1.3,16.58,71.22
1861,南投縣,2014/01/11,竹山,1.9,0.43,-,15.5,89,45,-,-,-,1.02,14.88,81.26
1862,南投縣,2014/01/10,南投,3.0,0.53,-,20.1,55,27,28.33,6.17,22.15,1.56,16.33,74.35
1863,南投縣,2014/01/10,埔里,2.2,0.59,-,28.3,57,40,23.46,4.89,18.57,1.23,16.96,72.39
1864,南投縣,2014/01/10,竹山,4.0,0.41,-,24.9,63,33,19.9,2.77,17.13,1.33,15.78,69.38
1865,南投縣,2014/01/09,南投,2.8,0.54,-,22.3,53,26,22.0,2.9,19.1,2.17,15.42,73.04
1866,南投縣,2014/01/09,埔里,1.4,0.48,-,16.1,53,41,-,-,-,1.31,16.56,79.23
1867,南投縣,2014/01/09,竹山,2.7,0.43,-,24.8,67,34,18.0,1.56,16.44,1.16,14.86,68.38
1868,南投縣,2014/01/08,南投,3.2,0.67,-,24.1,84,53,29.95,6.89,23.06,1.75,18.53,74.96
1869,南投縣,2014/01/08,埔里,2.2,0.5,-,26.0,63,46,18.81,2.61,16.18,1.4,17.82,72.72
1870,南投縣,2014/01/08,竹山,2.5,0.46,-,35.5,81,52,19.69,1.97,17.72,1.42,18.47,67.36
1871,南投縣,2014/01/07,南投,3.6,0.76,-,21.7,101,63,34.97,9.37,25.6,1.09,18.07,73.55
1872,南投縣,2014/01/07,埔里,1.9,0.6,-,27.9,74,56,22.8,2.92,19.88,1.21,17.26,67.3
1873,南投縣,2014/01/07,竹山,4.1,0.59,-,37.5,99,63,21.32,1.91,19.41,1.06,17.93,64.82
1874,南投縣,2014/01/06,南投,3.4,0.84,-,11.7,113,73,42.22,11.27,30.95,1.18,16.29,73.76
1875,南投縣,2014/01/06,埔里,2.5,0.68,-,19.8,80,62,25.66,5.58,20.08,1.09,15.57,68.29
1876,南投縣,2014/01/06,竹山,3.5,0.59,-,27.9,101,69,26.78,4.21,22.56,1.13,16.36,63.19
1877,南投縣,2014/01/05,南投,3.8,0.83,-,23.6,130,91,29.03,5.45,23.58,1.15,16.18,71.06
1878,南投縣,2014/01/05,埔里,2.3,0.67,-,29.4,87,71,19.16,2.65,16.51,1.16,15.91,69.55
1879,南投縣,2014/01/05,竹山,3.4,0.67,-,34.6,131,90,19.71,1.95,17.77,1.23,15.82,65.97
1880,南投縣,2014/01/04,南投,5.5,0.77,-,20.0,128,82,36.32,5.38,30.94,1.49,18.47,71.48
1881,南投縣,2014/01/04,埔里,2.8,0.58,-,23.4,69,51,20.67,3.79,16.88,1.25,18.48,74.55
1882,南投縣,2014/01/04,竹山,4.6,0.65,-,25.4,121,77,30.36,3.31,27.03,1.37,18.31,67.46
1883,南投縣,2014/01/03,南投,2.9,0.55,-,21.9,58,38,26.54,3.87,22.67,1.14,20.92,74.16
1884,南投縣,2014/01/03,埔里,2.9,0.48,-,23.3,42,30,19.75,2.81,16.94,1.44,19.62,71.87
1885,南投縣,2014/01/03,竹山,3.5,0.46,-,29.0,72,43,19.4,1.57,17.83,1.24,20.58,67.47
1886,南投縣,2014/01/02,南投,2.8,0.7,-,24.7,72,47,29.68,5.65,24.03,1.2,19.59,67.99
1887,南投縣,2014/01/02,埔里,2.2,0.68,-,24.7,58,41,24.72,4.53,20.17,1.24,17.92,67.38
1888,南投縣,2014/01/02,竹山,2.1,0.47,-,37.4,79,53,18.59,2.42,16.18,1.13,19.11,62.85
1889,南投縣,2014/01/01,南投,2.7,0.72,-,22.1,83,56,28.3,6.17,22.13,1.13,17.54,72.01
1890,南投縣,2014/01/01,埔里,2.0,0.64,-,25.1,59,47,21.44,3.9,17.54,1.14,16.48,70.2
1891,南投縣,2014/01/01,竹山,2.8,0.52,-,31.5,93,61,19.91,2.75,17.16,1.05,17.76,64.09
1892,雲林縣,2014/01/31,斗六,2.6,0.52,-,48.2,83,69,16.03,0.62,15.38,1.27,20.15,66.52
1893,雲林縣,2014/01/31,崙背,2.3,0.52,-,33.4,91,78,17.23,2.07,15.16,1.61,19.22,80.59
1894,雲林縣,2014/01/31,麥寮,3.5,0.45,-,35.3,92,75,17.95,4.34,13.61,1.57,17.52,83.26
1895,雲林縣,2014/01/31,臺西,4.6,0.45,-,35.7,94,73,17.02,2.5,14.52,2.51,19.06,84.38
1896,雲林縣,2014/01/30,斗六,4.4,0.69,-,42.4,98,73,21.54,1.67,19.86,1.13,19.92,63.24
1897,雲林縣,2014/01/30,崙背,2.7,0.6,-,30.0,92,67,21.71,5.51,16.2,1.69,18.36,80.9
1898,雲林縣,2014/01/30,麥寮,4.6,0.53,-,34.7,75,57,17.87,3.72,14.15,1.71,16.93,85.97
1899,雲林縣,2014/01/30,臺西,4.6,0.45,-,33.7,65,47,19.13,3.78,15.35,2.26,18.15,88.0
1900,雲林縣,2014/01/29,斗六,4.3,0.73,-,31.5,100,60,28.19,4.38,23.82,1.26,18.99,73.05
1901,雲林縣,2014/01/29,崙背,3.3,0.45,-,27.3,86,47,18.91,3.1,15.81,1.91,17.68,87.58
1902,雲林縣,2014/01/29,麥寮,2.1,0.36,-,30.9,74,43,16.52,4.33,12.19,2.11,16.08,90.0
1903,雲林縣,2014/01/29,臺西,2.3,0.32,-,31.7,61,36,15.21,3.57,11.63,3.09,16.94,91.62
1904,雲林縣,2014/01/28,斗六,4.5,0.6,-,22.6,93,54,29.47,5.09,24.37,1.32,18.54,70.77
1905,雲林縣,2014/01/28,崙背,5.0,0.45,-,19.8,79,41,26.72,7.4,19.31,2.26,17.32,83.8
1906,雲林縣,2014/01/28,麥寮,3.5,0.36,-,28.6,77,29,21.07,5.31,15.76,2.8,16.17,85.6
1907,雲林縣,2014/01/28,臺西,2.9,0.25,-,33.1,58,23,14.72,2.56,12.14,4.26,17.52,87.1
1908,雲林縣,2014/01/27,斗六,3.4,0.44,-,27.0,83,38,22.95,3.65,19.31,1.46,17.93,66.18
1909,雲林縣,2014/01/27,崙背,4.1,0.29,-,26.5,67,24,15.8,1.72,14.08,3.16,16.99,73.8
1910,雲林縣,2014/01/27,麥寮,3.6,0.26,-,35.1,83,20,14.4,2.78,11.62,4.72,16.01,76.53
1911,雲林縣,2014/01/27,臺西,2.5,0.16,-,38.8,68,15,7.7,0.92,6.74,7.9,16.92,79.75
1912,雲林縣,2014/01/26,斗六,3.2,0.43,-,33.3,81,50,17.81,2.69,15.12,2.23,17.82,61.18
1913,雲林縣,2014/01/26,崙背,4.5,0.5,-,25.5,120,70,21.99,3.14,18.84,4.07,17.01,72.07
1914,雲林縣,2014/01/26,麥寮,5.0,0.45,-,34.8,108,56,18.53,2.22,16.31,5.55,16.29,73.98
1915,雲林縣,2014/01/26,臺西,4.6,0.4,-,37.8,133,53,15.96,1.36,14.61,9.15,17.54,76.94
1916,雲林縣,2014/01/25,斗六,2.8,0.32,-,33.0,58,25,17.16,3.09,14.06,2.2,19.1,47.78
1917,雲林縣,2014/01/25,崙背,2.9,0.37,-,22.7,59,36,21.05,2.64,18.41,2.51,18.56,54.99
1918,雲林縣,2014/01/25,麥寮,3.3,0.39,-,27.2,60,39,20.67,2.61,18.06,2.64,17.12,59.03
1919,雲林縣,2014/01/25,臺西,3.5,0.33,-,30.5,50,29,17.6,1.92,15.69,3.98,18.85,61.4
1920,雲林縣,2014/01/24,斗六,5.7,0.48,-,34.8,65,44,-,-,-,1.68,16.43,53.99
1921,雲林縣,2014/01/24,崙背,3.8,0.47,-,25.2,81,47,28.46,4.8,23.66,1.95,15.71,66.59
1922,雲林縣,2014/01/24,麥寮,3.5,0.44,-,32.9,75,44,24.84,5.75,19.09,2.03,14.7,73.18
1923,雲林縣,2014/01/24,臺西,3.3,0.34,-,37.1,64,37,19.84,3.73,16.09,3.02,15.48,75.6
1924,雲林縣,2014/01/23,斗六,2.7,0.52,-,24.5,70,45,-,-,-,1.24,14.69,59.23
1925,雲林縣,2014/01/23,崙背,3.3,0.35,-,27.5,62,35,20.1,3.18,16.92,2.17,14.34,65.55
1926,雲林縣,2014/01/23,麥寮,3.5,0.32,-,33.9,53,24,16.68,3.24,13.43,2.65,14.24,66.71
1927,雲林縣,2014/01/23,臺西,4.4,0.27,-,34.1,42,21,15.19,1.96,13.22,4.3,14.96,69.5
1928,雲林縣,2014/01/22,斗六,3.8,0.4,-,24.8,77,38,20.77,2.95,17.82,2.0,13.23,58.98
1929,雲林縣,2014/01/22,崙背,3.8,0.3,-,28.9,85,26,15.21,1.99,13.21,4.89,13.02,57.64
1930,雲林縣,2014/01/22,麥寮,5.9,0.28,-,34.2,121,33,16.08,2.23,13.85,6.75,13.27,59.58
1931,雲林縣,2014/01/22,臺西,3.0,0.21,-,39.9,174,26,7.87,1.44,6.43,11.08,13.14,65.0
1932,雲林縣,2014/01/21,斗六,4.9,0.52,-,24.2,132,60,20.69,3.13,17.56,2.78,14.32,63.93
1933,雲林縣,2014/01/21,崙背,5.8,0.5,-,32.6,246,73,15.2,2.13,13.07,5.95,14.27,60.69
1934,雲林縣,2014/01/21,麥寮,6.6,0.48,-,39.1,224,60,16.3,1.95,14.35,8.25,14.28,61.92
1935,雲林縣,2014/01/21,臺西,5.6,0.42,-,43.3,368,60,9.83,0.92,8.89,12.49,14.47,67.62
1936,雲林縣,2014/01/20,斗六,3.7,0.54,-,31.2,95,62,20.79,3.16,17.63,1.77,16.31,71.22
1937,雲林縣,2014/01/20,崙背,3.9,0.55,-,29.8,120,62,18.26,4.77,13.48,2.75,15.64,82.44
1938,雲林縣,2014/01/20,麥寮,1.9,0.46,-,40.4,100,54,14.61,3.8,10.81,3.28,15.29,80.35
1939,雲林縣,2014/01/20,臺西,4.7,0.4,-,40.9,86,50,14.37,2.62,11.7,4.98,16.21,81.09
1940,雲林縣,2014/01/19,斗六,3.8,0.67,-,38.4,125,92,20.39,3.09,17.3,1.19,15.77,60.76
1941,雲林縣,2014/01/19,崙背,3.9,0.52,-,38.0,118,82,13.47,0.99,12.47,2.09,15.06,66.65
1942,雲林縣,2014/01/19,麥寮,4.5,0.53,-,45.5,115,71,14.32,1.84,12.47,2.37,14.77,69.12
1943,雲林縣,2014/01/19,臺西,-,0.49,-,46.7,107,69,11.73,0.66,11.05,4.02,15.55,70.7
1944,雲林縣,2014/01/18,斗六,5.0,0.49,-,37.9,128,69,20.21,3.11,17.08,2.88,15.62,61.2
1945,雲林縣,2014/01/18,崙背,5.8,0.42,-,46.3,263,75,14.21,1.53,12.68,6.2,15.77,59.83
1946,雲林縣,2014/01/18,麥寮,5.8,0.38,-,59.0,216,60,12.37,2.37,9.99,8.05,15.43,61.11
1947,雲林縣,2014/01/18,臺西,-,0.33,-,56.3,215,55,7.34,0.36,6.95,11.67,15.96,67.29
1948,雲林縣,2014/01/17,斗六,4.1,0.41,-,27.5,63,-,22.59,3.42,19.16,1.92,17.67,64.74
1949,雲林縣,2014/01/17,崙背,5.5,0.52,-,18.7,89,47,30.14,9.35,20.79,3.0,16.81,75.65
1950,雲林縣,2014/01/17,麥寮,3.5,0.38,-,27.3,112,35,23.71,8.92,14.79,4.12,15.84,77.26
1951,雲林縣,2014/01/17,臺西,3.7,0.33,-,28.9,61,33,20.09,5.52,14.58,6.28,16.88,79.81
1952,雲林縣,2014/01/16,斗六,4.6,0.5,-,27.9,-,43,26.15,5.49,20.66,1.42,17.09,63.06
1953,雲林縣,2014/01/16,崙背,2.5,0.37,-,24.6,63,29,18.4,2.12,16.28,2.39,16.42,69.12
1954,雲林縣,2014/01/16,麥寮,3.4,0.41,-,29.9,93,27,22.08,5.9,16.18,2.86,15.62,71.09
1955,雲林縣,2014/01/16,臺西,2.7,0.27,-,36.0,59,24,12.45,1.77,10.67,4.63,16.59,73.47
1956,雲林縣,2014/01/15,斗六,4.3,0.35,-,26.0,-,30,17.87,1.26,16.59,1.82,16.19,60.8
1957,雲林縣,2014/01/15,崙背,3.3,0.28,-,31.6,71,22,13.86,1.73,12.14,4.73,16.15,59.67
1958,雲林縣,2014/01/15,麥寮,3.7,0.25,-,38.4,188,26,12.66,2.63,10.03,6.96,15.46,62.75
1959,雲林縣,2014/01/15,臺西,2.2,0.2,-,41.3,307,29,6.46,0.87,5.55,10.94,15.99,68.41
1960,雲林縣,2014/01/14,斗六,3.7,0.39,-,22.0,72,34,18.53,2.63,15.89,3.2,15.66,74.45
1961,雲林縣,2014/01/14,崙背,2.0,0.3,-,30.7,141,28,11.56,1.02,10.53,6.28,15.54,79.25
1962,雲林縣,2014/01/14,麥寮,3.3,0.32,-,36.7,80,27,12.55,1.9,10.64,7.94,15.41,77.32
1963,雲林縣,2014/01/14,臺西,2.2,0.23,-,41.7,97,23,5.06,0.55,4.42,12.74,16.11,81.84
1964,雲林縣,2014/01/13,斗六,3.2,0.4,-,31.1,70,35,15.36,2.56,12.81,3.24,17.45,71.46
1965,雲林縣,2014/01/13,崙背,2.4,0.36,-,32.5,102,36,10.45,0.8,9.68,5.56,16.72,79.08
1966,雲林縣,2014/01/13,麥寮,3.0,0.4,-,37.5,92,38,12.03,1.74,10.28,6.93,15.94,78.56
1967,雲林縣,2014/01/13,臺西,3.6,0.37,-,37.9,69,33,9.83,1.4,8.43,10.87,16.72,82.2
1968,雲林縣,2014/01/12,斗六,2.2,0.34,-,30.2,72,42,12.72,1.53,11.2,2.57,18.61,74.04
1969,雲林縣,2014/01/12,崙背,2.4,0.31,-,24.6,66,30,12.55,1.62,10.92,3.82,18.34,85.21
1970,雲林縣,2014/01/12,麥寮,2.9,0.27,-,32.5,74,32,10.71,1.82,8.89,4.68,17.09,84.83
1971,雲林縣,2014/01/12,臺西,2.3,0.21,-,35.8,49,24,7.15,1.11,6.03,7.24,18.46,86.62
1972,雲林縣,2014/01/11,斗六,4.7,0.44,-,28.1,77,45,20.42,3.25,17.17,1.46,18.11,75.61
1973,雲林縣,2014/01/11,崙背,4.3,0.46,-,21.9,71,39,25.76,8.18,17.57,2.02,17.32,85.82
1974,雲林縣,2014/01/11,麥寮,3.4,0.36,-,27.4,71,40,24.32,8.66,15.66,2.34,16.24,85.36
1975,雲林縣,2014/01/11,臺西,4.4,0.32,-,28.6,62,34,20.09,5.3,14.79,3.43,17.46,85.94
1976,雲林縣,2014/01/10,斗六,4.6,0.4,-,24.7,53,33,22.34,3.59,18.75,1.78,17.41,69.67
1977,雲林縣,2014/01/10,崙背,4.2,0.36,-,24.4,48,23,18.02,1.76,16.23,3.26,16.81,76.64
1978,雲林縣,2014/01/10,麥寮,4.4,0.36,-,31.4,60,27,15.88,2.45,13.43,4.24,15.91,77.3
1979,雲林縣,2014/01/10,臺西,4.9,0.31,-,31.8,53,22,12.85,0.81,11.98,6.55,16.74,80.55
1980,雲林縣,2014/01/09,斗六,3.9,0.42,-,27.5,56,33,18.49,2.6,15.89,2.9,16.42,67.58
1981,雲林縣,2014/01/09,崙背,3.3,0.39,-,28.6,86,-,13.6,2.49,11.11,5.42,15.66,72.4
1982,雲林縣,2014/01/09,麥寮,5.7,0.41,-,29.4,89,29,17.44,2.42,15.03,7.05,15.11,73.05
1983,雲林縣,2014/01/09,臺西,3.6,0.36,-,34.8,120,27,9.92,0.77,9.11,11.15,15.63,-
1984,雲林縣,2014/01/08,斗六,3.7,0.48,-,35.3,81,53,19.66,3.66,16.0,2.18,20.3,67.8
1985,雲林縣,2014/01/08,崙背,3.6,0.53,-,25.9,92,-,27.57,9.16,18.41,2.95,19.7,78.61
1986,雲林縣,2014/01/08,麥寮,4.3,0.55,-,31.0,99,64,32.96,10.15,22.83,3.47,17.95,80.08
1987,雲林縣,2014/01/08,臺西,4.9,0.49,-,33.0,99,64,24.95,6.19,18.76,5.31,19.44,-
1988,雲林縣,2014/01/07,斗六,5.2,0.63,-,30.3,105,69,29.43,4.77,24.66,1.09,19.73,66.92
1989,雲林縣,2014/01/07,崙背,4.3,0.58,-,22.1,99,62,30.83,7.49,23.34,1.54,19.04,80.21
1990,雲林縣,2014/01/07,麥寮,3.6,0.5,-,25.1,93,57,27.25,5.96,21.29,1.69,17.42,82.62
1991,雲林縣,2014/01/07,臺西,5.4,0.44,-,26.7,83,49,24.92,3.56,21.36,2.57,19.05,-
1992,雲林縣,2014/01/06,斗六,4.8,0.71,-,17.6,117,82,35.95,6.68,29.27,1.4,17.57,69.09
1993,雲林縣,2014/01/06,崙背,6.3,0.5,-,21.2,84,50,21.86,2.65,19.21,2.48,17.15,75.04
1994,雲林縣,2014/01/06,麥寮,4.5,0.37,-,33.1,71,39,17.11,3.16,13.93,3.0,16.49,76.75
1995,雲林縣,2014/01/06,臺西,3.1,0.3,-,38.1,65,35,11.36,0.92,10.43,4.89,17.87,-
1996,雲林縣,2014/01/05,斗六,6.0,0.77,-,33.6,160,119,25.05,3.1,21.95,1.28,17.15,64.87
1997,雲林縣,2014/01/05,崙背,10.9,0.7,-,40.7,159,116,-,-,-,3.17,17.19,63.76
1998,雲林縣,2014/01/05,麥寮,11.6,0.64,-,48.7,148,89,19.74,1.07,18.66,4.45,16.43,64.9
1999,雲林縣,2014/01/05,臺西,12.1,0.58,-,51.4,149,81,17.31,1.34,15.98,7.01,17.65,-
2000,雲林縣,2014/01/04,斗六,7.6,0.73,-,27.1,141,96,32.34,3.07,29.26,1.99,19.56,67.61
2001,雲林縣,2014/01/04,崙背,10.0,0.74,-,34.0,164,110,26.1,1.9,24.2,3.76,19.15,70.8
2002,雲林縣,2014/01/04,麥寮,9.1,0.64,-,48.4,164,96,22.37,1.36,21.0,5.23,17.85,71.44
2003,雲林縣,2014/01/04,臺西,8.8,0.6,-,51.9,142,83,18.5,1.09,17.41,8.36,19.46,-
2004,雲林縣,2014/01/03,斗六,5.4,0.54,-,25.3,81,55,24.41,2.06,22.34,1.64,22.41,68.62
2005,雲林縣,2014/01/03,崙背,4.0,0.46,-,27.8,94,66,18.08,2.19,15.87,2.35,21.4,82.06
2006,雲林縣,2014/01/03,麥寮,3.8,0.43,-,39.2,92,71,16.57,3.12,13.45,2.49,19.2,83.26
2007,雲林縣,2014/01/03,臺西,6.9,0.39,-,38.7,83,62,19.19,2.73,16.45,3.69,21.34,-
2008,雲林縣,2014/01/02,斗六,3.6,0.66,-,30.4,100,70,26.51,3.49,23.02,1.22,20.87,65.89
2009,雲林縣,2014/01/02,崙背,4.6,0.54,-,30.7,100,68,21.56,4.46,17.07,1.88,19.52,82.88
2010,雲林縣,2014/01/02,麥寮,4.1,0.46,-,41.0,88,61,19.24,3.92,15.32,2.32,17.69,86.16
2011,雲林縣,2014/01/02,臺西,10.1,0.4,-,43.9,82,56,15.5,2.24,13.25,3.24,19.38,83.26
2012,雲林縣,2014/01/01,斗六,4.9,0.7,-,26.7,100,73,27.36,4.35,23.02,1.2,18.52,69.32
2013,雲林縣,2014/01/01,崙背,4.6,0.46,-,31.3,75,53,19.21,2.15,17.05,2.29,17.6,78.13
2014,雲林縣,2014/01/01,麥寮,4.3,0.4,-,41.2,72,46,17.03,2.47,14.57,2.91,16.37,81.2
2015,雲林縣,2014/01/01,臺西,3.8,0.32,-,48.0,57,39,11.06,0.88,10.12,4.75,17.91,81.83
2016,嘉義縣,2014/01/31,朴子,4.0,0.51,-,37.3,104,75,17.96,1.67,16.27,1.33,19.55,72.5
2017,嘉義縣,2014/01/31,新港,3.5,0.55,-,37.8,104,74,21.5,5.26,16.24,1.53,19.53,75.72
2018,嘉義縣,2014/01/30,朴子,3.8,0.56,-,39.5,106,70,23.24,5.73,17.51,1.28,18.38,75.77
2019,嘉義縣,2014/01/30,新港,3.7,0.63,-,38.8,109,70,24.38,6.37,18.01,1.42,18.56,76.4
2020,嘉義縣,2014/01/29,朴子,3.2,0.48,-,29.8,98,48,23.56,5.74,17.81,1.37,17.76,81.54
2021,嘉義縣,2014/01/29,新港,3.1,0.53,-,27.0,102,48,29.22,9.51,19.71,1.61,17.24,84.36
2022,嘉義縣,2014/01/28,朴子,3.5,0.43,-,28.2,99,43,23.96,6.57,17.38,1.74,17.3,77.52
2023,嘉義縣,2014/01/28,新港,3.9,0.46,-,25.3,102,42,28.18,9.0,19.18,1.93,17.04,79.54
2024,嘉義縣,2014/01/27,朴子,3.5,0.25,-,33.6,101,28,11.91,1.03,10.85,2.24,16.82,68.38
2025,嘉義縣,2014/01/27,新港,3.4,0.31,-,31.2,84,28,14.49,1.32,13.16,2.46,16.47,70.64
2026,嘉義縣,2014/01/26,朴子,4.9,0.45,-,28.8,155,68,20.96,2.36,18.6,2.55,17.04,64.64
2027,嘉義縣,2014/01/26,新港,3.4,0.46,-,30.0,116,61,20.0,2.75,17.25,3.23,16.64,66.91
2028,嘉義縣,2014/01/25,朴子,2.9,0.35,-,25.0,74,38,19.26,2.1,17.16,2.02,17.99,51.02
2029,嘉義縣,2014/01/25,新港,2.5,0.41,-,24.4,66,34,24.92,5.88,19.05,2.34,17.95,55.67
2030,嘉義縣,2014/01/24,朴子,3.4,0.4,-,34.9,84,46,23.75,4.33,19.43,1.55,15.85,60.22
2031,嘉義縣,2014/01/24,新港,3.6,0.48,-,31.6,94,49,29.55,7.0,22.54,1.76,15.16,65.53
2032,嘉義縣,2014/01/23,朴子,4.2,0.34,-,30.8,82,34,18.35,2.48,15.85,1.53,14.38,61.02
2033,嘉義縣,2014/01/23,新港,3.1,0.41,-,31.0,76,38,23.28,5.38,17.9,1.68,13.61,64.53
2034,嘉義縣,2014/01/22,朴子,4.3,0.27,-,34.5,123,29,13.38,2.25,11.11,3.29,13.16,51.17
2035,嘉義縣,2014/01/22,新港,3.8,0.3,-,33.4,90,31,14.67,1.64,13.03,3.94,12.27,57.79
2036,嘉義縣,2014/01/21,朴子,6.0,0.49,-,36.7,241,66,14.44,1.22,13.18,3.85,14.42,55.06
2037,嘉義縣,2014/01/21,新港,5.1,0.49,-,36.7,170,65,13.47,1.23,12.23,4.88,13.66,61.42
2038,嘉義縣,2014/01/20,朴子,3.5,0.46,-,36.7,125,60,14.75,1.78,12.96,2.1,15.68,75.04
2039,嘉義縣,2014/01/20,新港,2.7,0.52,-,36.1,119,58,15.63,2.97,12.66,2.48,15.1,77.56
2040,嘉義縣,2014/01/19,朴子,4.1,0.49,-,44.8,136,82,15.1,1.71,13.39,1.77,14.75,60.59
2041,嘉義縣,2014/01/19,新港,4.1,0.55,-,40.7,137,85,17.41,2.54,14.87,1.86,14.18,64.65
2042,嘉義縣,2014/01/18,朴子,6.1,0.4,-,51.6,224,64,12.53,1.29,11.24,3.95,15.75,53.34
2043,嘉義縣,2014/01/18,新港,5.3,0.44,-,50.1,144,65,14.19,1.77,12.42,4.88,15.0,60.35
2044,嘉義縣,2014/01/17,朴子,3.8,0.39,-,26.1,102,41,24.01,5.5,18.55,2.19,16.75,70.26
2045,嘉義縣,2014/01/17,新港,3.8,0.48,-,23.7,90,42,30.53,10.35,20.18,2.55,16.26,73.02
2046,嘉義縣,2014/01/16,朴子,3.9,0.42,-,28.1,73,34,20.59,3.85,16.74,1.64,16.31,62.2
2047,嘉義縣,2014/01/16,新港,3.4,0.39,-,29.6,75,34,18.83,3.52,15.31,1.96,15.68,67.64
2048,嘉義縣,2014/01/15,朴子,3.5,0.26,-,35.4,123,29,11.96,1.64,10.32,3.15,15.98,54.3
2049,嘉義縣,2014/01/15,新港,2.8,0.26,-,35.0,77,30,11.6,1.62,9.97,3.39,15.37,60.37
2050,嘉義縣,2014/01/14,朴子,3.1,0.3,-,33.0,130,30,11.39,1.41,9.97,4.22,15.47,73.51
2051,嘉義縣,2014/01/14,新港,2.3,0.31,-,31.7,68,30,10.61,1.5,9.11,5.15,14.79,77.08
