序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
70,臺北市,2014/01/22,士林,2.7,0.26,-,34.8,45,22,12.84,1.97,10.85,2.42,12.43,50.76
71,臺北市,2014/01/21,松山,5.8,0.48,428.48,38.2,130,54,17.08,1.54,15.52,3.24,12.79,48.07
72,臺北市,2014/01/21,古亭,5.7,0.54,-,30.9,138,53,22.15,3.62,18.51,2.91,13.13,51.49
73,臺北市,2014/01/21,中山,6.1,0.61,-,27.0,166,60,26.95,6.1,20.85,2.18,13.19,52.39
74,臺北市,2014/01/21,大同,6.8,0.95,-,-,141,61,58.46,29.68,28.78,-,-,-
75,臺北市,2014/01/21,萬華,7.2,0.57,-,28.8,132,59,26.59,3.83,22.75,2.3,13.22,48.74
76,臺北市,2014/01/21,陽明,6.9,0.38,435.65,43.4,70,35,7.05,1.19,5.86,-,4.66,89.56
77,臺北市,2014/01/21,士林,6.4,0.43,-,39.2,139,59,13.38,2.95,10.43,3.11,12.95,50.57
78,臺北市,2014/01/20,松山,3.5,0.62,435.58,27.8,57,39,31.76,7.02,24.75,1.93,15.43,65.57
79,臺北市,2014/01/20,古亭,3.0,0.62,-,25.6,70,36,30.71,7.94,22.75,2.16,15.52,69.07
80,臺北市,2014/01/20,中山,3.8,0.75,-,19.1,71,43,40.91,12.56,28.35,1.54,16.25,67.11
81,臺北市,2014/01/20,大同,4.4,1.51,-,-,73,38,85.39,50.13,35.25,-,-,-
82,臺北市,2014/01/20,萬華,4.0,0.72,-,22.8,57,37,37.2,8.39,28.81,1.5,16.05,65.49
83,臺北市,2014/01/20,陽明,3.4,0.31,445.46,48.8,35,26,5.6,0.53,5.02,-,9.53,89.93
84,臺北市,2014/01/20,士林,3.8,0.62,-,28.7,59,40,34.7,13.77,20.93,1.85,15.98,65.56
85,臺北市,2014/01/19,松山,2.3,0.43,425.48,34.4,52,36,19.53,3.06,16.46,2.23,15.8,49.2
86,臺北市,2014/01/19,古亭,2.2,0.46,-,33.3,64,37,20.63,5.16,15.47,3.27,16.29,52.07
87,臺北市,2014/01/19,中山,2.4,0.54,-,25.9,82,41,28.97,7.97,21.0,2.75,16.77,50.96
88,臺北市,2014/01/19,大同,2.6,1.14,-,-,77,43,77.3,43.73,33.57,-,-,-
